Month_Index,Total_Revenue_NAD_000,Fixed_OPEX_NAD_000,Variable_OPEX_NAD_000,Total_OPEX_NAD_000,Depreciation_NAD_000,EBIT_NAD_000,Interest_Expense_NAD_000,Tax_Expense_NAD_000,NPAT_NAD_000,EBITDA_NAD_000,Total_Revenue_USD_000,Fixed_OPEX_USD_000,Variable_OPEX_USD_000,Total_OPEX_USD_000,Depreciation_USD_000,EBIT_USD_000,Interest_Expense_USD_000,Tax_Expense_USD_000,NPAT_USD_000,EBITDA_USD_000
11,0.0,363.75,665.3333333333334,1029.0833333333335,82.81944444444444,-1111.9027777777778,0.0,0.0,-1111.9027777777778,-1029.0833333333335,0.0,19.451871657754012,35.579322638146174,55.031194295900185,4.4288472964943555,-59.46004159239454,0.0,0.0,-59.46004159239454,-55.031194295900185
12,0.0,363.75,665.3333333333334,1029.0833333333335,82.81944444444444,-1111.9027777777778,0.0,0.0,-1111.9027777777778,-1029.0833333333335,0.0,19.431089743589745,35.541310541310544,54.972400284900296,4.424115622032289,-59.39651590693258,0.0,0.0,-59.39651590693258,-54.972400284900296
13,0.0,387.5,319.3333333333333,706.8333333333333,82.81944444444444,-789.6527777777777,0.0,0.0,-789.6527777777777,-706.8333333333333,0.0,20.55702917771883,16.94076038903625,37.497789566755074,4.393604479811376,-41.891394046566454,0.0,0.0,-41.891394046566454,-37.497789566755074
14,0.0,387.5,319.3333333333333,706.8333333333333,82.81944444444444,-789.6527777777777,0.0,0.0,-789.6527777777777,-706.8333333333333,0.0,20.535241123476418,16.922805158099273,37.45804628157569,4.388947771300712,-41.8469940528764,0.0,0.0,-41.8469940528764,-37.45804628157569
15,0.0,387.5,319.3333333333333,706.8333333333333,82.81944444444444,-789.6527777777777,0.0,0.0,-789.6527777777777,-706.8333333333333,0.0,20.51349920592906,16.904887947767776,37.418387153696834,4.38430092347509,-41.80268807717193,0.0,0.0,-41.80268807717193,-37.418387153696834
16,0.0,387.5,319.3333333333333,706.8333333333333,82.81944444444444,-789.6527777777777,0.0,0.0,-789.6527777777777,-706.8333333333333,0.0,20.491803278688526,16.887008637405252,37.378811916093774,4.3796639050473,-41.758475821141076,0.0,0.0,-41.758475821141076,-37.378811916093774
17,0.0,387.5,319.3333333333333,706.8333333333333,82.81944444444444,-789.6527777777777,0.0,0.0,-789.6527777777777,-706.8333333333333,0.0,20.47015319598521,16.869167106885016,37.33932030287022,4.3750366848623585,-41.71435698773258,0.0,0.0,-41.71435698773258,-37.33932030287022
18,0.0,387.5,319.3333333333333,706.8333333333333,82.81944444444444,-789.6527777777777,0.0,0.0,-789.6527777777777,-706.8333333333333,0.0,20.448548812664907,16.85136323658751,37.29991204925241,4.370419231896805,-41.670331281149224,0.0,0.0,-41.670331281149224,-37.29991204925241
19,0.0,387.5,319.3333333333333,706.8333333333333,82.81944444444444,-789.6527777777777,0.0,0.0,-789.6527777777777,-706.8333333333333,0.0,20.426989984185557,16.833596907397645,37.2605868915832,4.3658115152580095,-41.62639840684121,0.0,0.0,-41.62639840684121,-37.2605868915832
20,0.0,387.5,319.3333333333333,706.8333333333333,82.81944444444444,-789.6527777777777,0.0,0.0,-789.6527777777777,-706.8333333333333,0.0,20.40547656661401,16.815868000702125,37.22134456731613,4.361213504183489,-41.58255807149962,0.0,0.0,-41.58255807149962,-37.22134456731613
